Date;Time;G-Force;Voltage;Temperature
15-05-2020;09:17:03;1,013775;4,194947;28,79412
15-05-2020;09:17:04;1,021277;4,194947;28,81557
15-05-2020;09:17:04;1,018559;4,194947;28,7834
15-05-2020;09:17:05;1,017862;4,194947;28,79412
15-05-2020;09:17:05;1,02654;4,194947;28,79412
15-05-2020;09:19:47;1,00801;4,194947;28,63324
15-05-2020;09:19:48;1,015507;4,194947;28,62251
15-05-2020;09:19:48;1,004011;4,194947;28,61179
15-05-2020;09:19:49;1,015602;4,194947;28,63324
15-05-2020;09:19:49;1,005399;4,194947;28,62251
15-05-2020;09:19:50;0,9910934;4,194947;28,62251
15-05-2020;09:19:51;1,017182;4,194947;28,62251
15-05-2020;09:19:51;0,9902669;4,189929;28,62251
15-05-2020;09:19:52;1,010185;4,194947;28,62251
15-05-2020;09:19:52;1,014367;4,194947;28,61179
15-05-2020;09:19:53;1,016438;4,194947;28,62251
15-05-2020;09:19:53;1,008198;4,194947;28,61179
15-05-2020;09:19:54;1,003729;4,194947;28,61179
15-05-2020;09:19:54;1,007006;4,194947;28,62251
15-05-2020;09:19:55;1,015989;4,194947;28,62251
15-05-2020;09:19:55;1,000948;4,194947;28,61179
15-05-2020;09:19:56;0,9843634;4,189929;28,62251
15-05-2020;09:19:56;1,003484;4,194947;28,63324
15-05-2020;09:19:57;0,996657;4,194947;28,60107
15-05-2020;10:43:08;1,010746;4,189929;29,40545
15-05-2020;10:43:09;1,017789;4,189929;29,40545
15-05-2020;10:43:09;1,020936;4,189929;29,39472
15-05-2020;10:43:10;1,013812;4,189929;29,384
15-05-2020;10:43:10;1,015011;4,189929;29,40545
15-05-2020;10:43:11;1,015222;4,189929;29,384
15-05-2020;10:43:11;1,012178;4,189929;29,39472
15-05-2020;10:43:12;1,015039;4,189929;29,39472
15-05-2020;10:43:12;1,014038;4,189929;29,40545
15-05-2020;10:43:13;1,015956;4,18491;29,39472
15-05-2020;10:43:13;1,012387;4,189929;29,41617
